# Region          : all region0
# Cells           : 200
# Volume          : 2.0000000000e-07
# Time            	min(Ts)
0.485             	0.0000000000e+00
0.49              	0.0000000000e+00
0.495             	0.0000000000e+00
0.5               	0.0000000000e+00
0.505             	0.0000000000e+00
0.51              	0.0000000000e+00
0.515             	0.0000000000e+00
0.52              	0.0000000000e+00
0.525             	0.0000000000e+00
0.53              	0.0000000000e+00
0.535             	0.0000000000e+00
0.54              	0.0000000000e+00
0.545             	0.0000000000e+00
0.55              	0.0000000000e+00
0.555             	0.0000000000e+00
0.56              	0.0000000000e+00
0.565             	0.0000000000e+00
0.57              	0.0000000000e+00
0.575             	0.0000000000e+00
0.58              	0.0000000000e+00
0.585             	0.0000000000e+00
0.59              	0.0000000000e+00
0.595             	0.0000000000e+00
0.6               	0.0000000000e+00
0.605             	0.0000000000e+00
0.61              	0.0000000000e+00
0.615             	0.0000000000e+00
0.62              	0.0000000000e+00
0.625             	0.0000000000e+00
0.63              	0.0000000000e+00
0.635             	0.0000000000e+00
0.64              	0.0000000000e+00
0.645             	0.0000000000e+00
0.65              	0.0000000000e+00
0.655             	0.0000000000e+00
0.66              	0.0000000000e+00
0.665             	0.0000000000e+00
0.67              	0.0000000000e+00
0.675             	0.0000000000e+00
0.68              	0.0000000000e+00
0.685             	0.0000000000e+00
0.69              	0.0000000000e+00
0.695             	0.0000000000e+00
0.7               	0.0000000000e+00
0.705             	0.0000000000e+00
0.71              	0.0000000000e+00
0.715             	0.0000000000e+00
0.72              	0.0000000000e+00
0.725             	0.0000000000e+00
0.73              	0.0000000000e+00
0.735             	0.0000000000e+00
0.74              	0.0000000000e+00
0.745             	0.0000000000e+00
0.75              	0.0000000000e+00
0.755             	0.0000000000e+00
0.76              	0.0000000000e+00
0.765             	0.0000000000e+00
0.77              	0.0000000000e+00
0.775             	0.0000000000e+00
0.78              	0.0000000000e+00
0.785             	0.0000000000e+00
0.79              	0.0000000000e+00
0.795             	0.0000000000e+00
0.8               	0.0000000000e+00
0.805             	0.0000000000e+00
0.81              	0.0000000000e+00
0.815             	0.0000000000e+00
0.82              	0.0000000000e+00
0.825             	0.0000000000e+00
0.83              	0.0000000000e+00
0.835             	0.0000000000e+00
0.84              	0.0000000000e+00
0.845             	0.0000000000e+00
0.85              	0.0000000000e+00
0.855             	0.0000000000e+00
0.86              	0.0000000000e+00
0.865             	0.0000000000e+00
0.87              	0.0000000000e+00
0.875             	0.0000000000e+00
0.88              	0.0000000000e+00
0.885             	0.0000000000e+00
0.89              	0.0000000000e+00
0.895             	0.0000000000e+00
0.9               	0.0000000000e+00
0.905             	0.0000000000e+00
0.91              	0.0000000000e+00
0.915             	0.0000000000e+00
0.92              	0.0000000000e+00
0.925             	0.0000000000e+00
0.93              	0.0000000000e+00
0.935             	0.0000000000e+00
0.94              	0.0000000000e+00
0.945             	0.0000000000e+00
0.95              	0.0000000000e+00
0.955             	0.0000000000e+00
0.96              	0.0000000000e+00
0.965             	0.0000000000e+00
0.97              	0.0000000000e+00
0.975             	0.0000000000e+00
0.98              	0.0000000000e+00
0.985             	0.0000000000e+00
0.99              	0.0000000000e+00
0.995             	0.0000000000e+00
1                 	0.0000000000e+00
1.005             	0.0000000000e+00
1.01              	0.0000000000e+00
1.015             	0.0000000000e+00
1.02              	0.0000000000e+00
1.025             	0.0000000000e+00
1.03              	0.0000000000e+00
1.035             	0.0000000000e+00
1.04              	0.0000000000e+00
1.045             	0.0000000000e+00
1.05              	0.0000000000e+00
1.055             	0.0000000000e+00
1.06              	0.0000000000e+00
1.065             	0.0000000000e+00
1.07              	0.0000000000e+00
1.075             	0.0000000000e+00
1.08              	0.0000000000e+00
1.085             	0.0000000000e+00
1.09              	0.0000000000e+00
1.095             	0.0000000000e+00
1.1               	0.0000000000e+00
1.105             	0.0000000000e+00
1.11              	0.0000000000e+00
1.115             	0.0000000000e+00
1.12              	0.0000000000e+00
1.125             	0.0000000000e+00
1.13              	0.0000000000e+00
1.135             	0.0000000000e+00
1.14              	0.0000000000e+00
1.145             	0.0000000000e+00
1.15              	0.0000000000e+00
1.155             	0.0000000000e+00
1.16              	0.0000000000e+00
1.165             	0.0000000000e+00
1.17              	0.0000000000e+00
1.175             	0.0000000000e+00
1.18              	0.0000000000e+00
1.185             	0.0000000000e+00
1.19              	0.0000000000e+00
1.195             	0.0000000000e+00
1.2               	0.0000000000e+00
1.205             	0.0000000000e+00
1.21              	0.0000000000e+00
1.215             	0.0000000000e+00
1.22              	0.0000000000e+00
1.225             	0.0000000000e+00
1.23              	0.0000000000e+00
1.235             	0.0000000000e+00
1.24              	0.0000000000e+00
1.245             	0.0000000000e+00
1.25              	0.0000000000e+00
1.255             	0.0000000000e+00
1.26              	0.0000000000e+00
1.265             	0.0000000000e+00
1.27              	0.0000000000e+00
1.275             	0.0000000000e+00
1.28              	0.0000000000e+00
1.285             	0.0000000000e+00
1.29              	0.0000000000e+00
1.295             	0.0000000000e+00
1.3               	0.0000000000e+00
1.305             	0.0000000000e+00
1.31              	0.0000000000e+00
1.315             	0.0000000000e+00
1.32              	0.0000000000e+00
1.325             	0.0000000000e+00
1.33              	0.0000000000e+00
1.335             	0.0000000000e+00
1.34              	0.0000000000e+00
1.345             	0.0000000000e+00
1.35              	0.0000000000e+00
1.355             	0.0000000000e+00
1.36              	0.0000000000e+00
1.365             	0.0000000000e+00
1.37              	0.0000000000e+00
1.375             	0.0000000000e+00
1.38              	0.0000000000e+00
1.385             	0.0000000000e+00
1.39              	0.0000000000e+00
1.395             	0.0000000000e+00
1.4               	0.0000000000e+00
1.405             	0.0000000000e+00
1.41              	0.0000000000e+00
1.415             	0.0000000000e+00
1.42              	0.0000000000e+00
1.425             	0.0000000000e+00
1.43              	0.0000000000e+00
1.435             	0.0000000000e+00
1.44              	0.0000000000e+00
1.445             	0.0000000000e+00
1.45              	0.0000000000e+00
1.455             	0.0000000000e+00
1.46              	0.0000000000e+00
1.465             	0.0000000000e+00
1.47              	0.0000000000e+00
1.475             	0.0000000000e+00
1.48              	0.0000000000e+00
1.485             	0.0000000000e+00
1.49              	0.0000000000e+00
1.495             	0.0000000000e+00
1.5               	0.0000000000e+00
1.505             	0.0000000000e+00
1.51              	0.0000000000e+00
1.515             	0.0000000000e+00
1.52              	0.0000000000e+00
1.525             	0.0000000000e+00
1.53              	0.0000000000e+00
1.535             	0.0000000000e+00
1.54              	0.0000000000e+00
1.545             	0.0000000000e+00
1.55              	0.0000000000e+00
1.555             	0.0000000000e+00
1.56              	0.0000000000e+00
1.565             	0.0000000000e+00
1.57              	0.0000000000e+00
1.575             	0.0000000000e+00
1.58              	0.0000000000e+00
1.585             	0.0000000000e+00
1.59              	0.0000000000e+00
1.595             	0.0000000000e+00
1.6               	0.0000000000e+00
1.605             	0.0000000000e+00
1.61              	0.0000000000e+00
1.615             	0.0000000000e+00
1.62              	0.0000000000e+00
1.625             	0.0000000000e+00
1.63              	0.0000000000e+00
1.635             	0.0000000000e+00
1.64              	0.0000000000e+00
1.645             	0.0000000000e+00
1.65              	0.0000000000e+00
1.655             	0.0000000000e+00
1.66              	0.0000000000e+00
1.665             	0.0000000000e+00
1.67              	0.0000000000e+00
1.675             	0.0000000000e+00
1.68              	0.0000000000e+00
1.685             	0.0000000000e+00
1.69              	0.0000000000e+00
1.695             	0.0000000000e+00
1.7               	0.0000000000e+00
1.705             	0.0000000000e+00
1.71              	0.0000000000e+00
1.715             	0.0000000000e+00
1.72              	0.0000000000e+00
1.725             	0.0000000000e+00
1.73              	0.0000000000e+00
1.735             	0.0000000000e+00
1.74              	0.0000000000e+00
1.745             	0.0000000000e+00
1.75              	0.0000000000e+00
1.755             	0.0000000000e+00
1.76              	3.0000000000e+02
1.765             	3.0000000000e+02
1.77              	3.0000000000e+02
1.775             	3.0000000000e+02
1.78              	3.0000000000e+02
1.785             	3.0000000000e+02
1.79              	3.0000000000e+02
1.795             	3.0000000000e+02
1.8               	3.0000000000e+02
1.805             	3.0000000000e+02
1.81              	3.0000000000e+02
1.815             	3.0000000000e+02
1.82              	3.0000000000e+02
1.825             	3.0000000000e+02
1.83              	3.0000000000e+02
1.835             	3.0000000000e+02
1.84              	3.0000000000e+02
1.845             	3.0000000000e+02
1.85              	3.0000000000e+02
1.855             	3.0000000000e+02
1.86              	3.0000000000e+02
1.865             	3.0000000000e+02
1.87              	3.0000000000e+02
1.875             	3.0000000000e+02
1.88              	3.0000000000e+02
1.885             	3.0000000000e+02
1.89              	3.0000000000e+02
1.895             	3.0000000000e+02
1.9               	3.0000000000e+02
1.905             	3.0000000000e+02
1.91              	3.0000000000e+02
1.915             	3.0000000000e+02
1.92              	3.0000000000e+02
1.925             	3.0000000000e+02
1.93              	3.0000000000e+02
1.935             	3.0000000000e+02
1.94              	3.0000000000e+02
1.945             	3.0000000000e+02
1.95              	3.0000000000e+02
1.955             	3.0000000000e+02
1.96              	3.0000000000e+02
1.965             	3.0000000000e+02
1.97              	3.0000000000e+02
1.975             	3.0000000000e+02
1.98              	3.0000000000e+02
1.985             	3.0000000000e+02
1.99              	3.0000000000e+02
1.995             	3.0000000000e+02
2                 	3.0000000000e+02
